route,features,group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
shared25,candidate,group_aoiyear,hgb8,0.04,9.0,668.0,0.06316170845486895,0.0632222019435464,-6.049348867745441e-05,4.0
shared25,candidate,group_aoiyear,hgb8,0.06,9.0,668.0,0.06316170845486895,0.0632222019435464,-6.049348867745441e-05,4.0
shared25,candidate,group_aoiyear,ridge100,0.01,9.0,668.0,0.06298344856507683,0.0632222019435464,-0.00023875337846956945,5.0
shared25,candidate,group_aoiyear,ridge100,0.02,9.0,668.0,0.06324274073001243,0.0632222019435464,2.053878646603169e-05,5.0
shared25,candidate,group_aoiyear,ridge100,0.03,9.0,668.0,0.06327842964587713,0.0632222019435464,5.622770233072727e-05,5.0
shared25,candidate,group_aoiyear,ridge100,0.04,9.0,668.0,0.06327842964587713,0.0632222019435464,5.622770233072727e-05,5.0
shared25,candidate,group_aoiyear,ridge100,0.06,9.0,668.0,0.06327842964587713,0.0632222019435464,5.622770233072727e-05,5.0
shared25,candidate,group_aoiyear,ridge30,0.01,9.0,668.0,0.06298795599434596,0.0632222019435464,-0.0002342459492004345,5.0
shared25,candidate,group_aoiyear,ridge30,0.02,9.0,668.0,0.06326713362748355,0.0632222019435464,4.4931683937154965e-05,5.0
shared25,candidate,group_aoiyear,ridge30,0.03,9.0,668.0,0.06331142881673901,0.0632222019435464,8.922687319261324e-05,5.0
shared25,candidate,group_aoiyear,ridge30,0.04,9.0,668.0,0.06331142881673901,0.0632222019435464,8.922687319261324e-05,5.0
shared25,candidate,group_aoiyear,ridge30,0.06,9.0,668.0,0.06331142881673901,0.0632222019435464,8.922687319261324e-05,5.0
shared25,compact,group_aoi,hgb8,0.01,9.0,668.0,0.06356370320041058,0.0632222019435464,0.00034150125686417676,3.0
shared25,compact,group_aoi,hgb8,0.02,9.0,668.0,0.06384608081254561,0.0632222019435464,0.0006238788689992142,4.0
shared25,compact,group_aoi,hgb8,0.03,9.0,668.0,0.06396805646662117,0.0632222019435464,0.0007458545230747682,4.0
shared25,compact,group_aoi,hgb8,0.04,9.0,668.0,0.06396805646662117,0.0632222019435464,0.0007458545230747682,4.0
shared25,compact,group_aoi,hgb8,0.06,9.0,668.0,0.06396805646662117,0.0632222019435464,0.0007458545230747682,4.0
shared25,compact,group_aoi,ridge100,0.01,9.0,668.0,0.06267281864064012,0.0632222019435464,-0.0005493833029062839,7.0
shared25,compact,group_aoi,ridge100,0.02,9.0,668.0,0.06230032808556345,0.0632222019435464,-0.0009218738579829522,7.0
