route,slice,n,alpha_opt,rmse_opt,alpha_grid,rmse_grid,rmse_a040,rmse_baseline
post_mode,year_2022,495,0.1820136838,0.0675400882,0.1800000000,0.0675401153,0.0678565208,0.0677608570
soft_all_r2_l0_p4,year_2023,555,0.4049804739,0.0567087052,0.4000000000,0.0567088823,0.0567088823,0.0578675556
soft_all_r1_l0_p4,year_2023,555,0.3882071176,0.0567747531,0.3900000000,0.0567747767,0.0567757713,0.0578675556
soft_crop_r1_l0_p4,year_2023,555,0.3882071176,0.0567747531,0.3900000000,0.0567747767,0.0567757713,0.0578675556
crop_hier_n1_p67,year_2023,555,0.2935407556,0.0571887378,0.2900000000,0.0571888371,0.0572784832,0.0578675556
post_mode,year_2023,555,0.2795895311,0.0573793502,0.2800000000,0.0573793513,0.0574702137,0.0578675556
soft_all_r32_l0_p4,year_2023,555,0.1357138604,0.0577632828,0.1400000000,0.0577633869,0.0581577246,0.0578675556
soft_all_r1_l0_p4,year_2024,519,0.2244352007,0.0513407375,0.2200000000,0.0513408746,0.0515550815,0.0516905594
soft_crop_r1_l0_p4,year_2024,519,0.2244352007,0.0513407375,0.2200000000,0.0513408746,0.0515550815,0.0516905594
crop_hier_n1_p67,year_2024,519,0.2038770283,0.0513657500,0.2000000000,0.0513658678,0.0516663928,0.0516905594
soft_all_r2_l0_p4,year_2024,519,0.2175808894,0.0513685614,0.2200000000,0.0513686013,0.0515951066,0.0516905594
post_mode,year_2024,519,0.0000000000,0.0516905594,0.0000000000,0.0516905594,0.0529080469,0.0516905594
soft_all_r32_l0_p4,year_2024,519,0.0000000000,0.0516905594,0.0000000000,0.0516905594,0.0532939279,0.0516905594
crop_hier_n1_p67,year_2025,2268,0.5115335051,0.0623503825,0.5100000000,0.0623503965,0.0624244245,0.0638897598
soft_all_r2_l0_p4,year_2025,2268,0.5340652741,0.0623836381,0.5300000000,0.0623837264,0.0624796182,0.0638897598
soft_all_r1_l0_p4,year_2025,2268,0.4967340068,0.0625506673,0.5000000000,0.0625507259,0.0626019732,0.0638897598
soft_crop_r1_l0_p4,year_2025,2268,0.4881879951,0.0625801381,0.4900000000,0.0625801564,0.0626233061,0.0638897598
soft_all_r32_l0_p4,year_2025,2268,0.1268111418,0.0638265058,0.1300000000,0.0638265458,0.0641195403,0.0638897598
post_mode,year_2025,2268,0.0690126283,0.0638678850,0.0700000000,0.0638678894,0.0643691695,0.0638897598
