route,policy,slice,n,rmse,rmse_base
soft_all_r2_l0_p4,predsrc_ls050,far,1975,0.0700808330,0.0700986011
soft_all_r2_l0_p4,predsrc_ls055,all,10576,0.0669313308,0.0680787938
soft_all_r2_l0_p4,predsrc_ls055,seed0,2644,0.0704092717,0.0713661302
soft_all_r2_l0_p4,predsrc_ls055,seed1,2644,0.0631991153,0.0644679552
soft_all_r2_l0_p4,predsrc_ls055,seed2,2644,0.0655139734,0.0668046092
soft_all_r2_l0_p4,predsrc_ls055,seed70404,2644,0.0683779039,0.0694751110
soft_all_r2_l0_p4,predsrc_ls055,new2025,1516,0.0779631066,0.0797533421
soft_all_r2_l0_p4,predsrc_ls055,shared2025,1508,0.0504678497,0.0513951813
soft_all_r2_l0_p4,predsrc_ls055,near,6890,0.0646690562,0.0662006592
soft_all_r2_l0_p4,predsrc_ls055,mid,1711,0.0719220787,0.0729940242
soft_all_r2_l0_p4,predsrc_ls055,far,1975,0.0701289332,0.0700986011
soft_all_r2_l0_p4,predsrc_ls050_nonls035,all,10576,0.0669500399,0.0680787938
soft_all_r2_l0_p4,predsrc_ls050_nonls035,seed0,2644,0.0704097422,0.0713661302
soft_all_r2_l0_p4,predsrc_ls050_nonls035,seed1,2644,0.0632273218,0.0644679552
soft_all_r2_l0_p4,predsrc_ls050_nonls035,seed2,2644,0.0655553837,0.0668046092
soft_all_r2_l0_p4,predsrc_ls050_nonls035,seed70404,2644,0.0683849181,0.0694751110
soft_all_r2_l0_p4,predsrc_ls050_nonls035,new2025,1516,0.0780783526,0.0797533421
soft_all_r2_l0_p4,predsrc_ls050_nonls035,shared2025,1508,0.0504542867,0.0513951813
soft_all_r2_l0_p4,predsrc_ls050_nonls035,near,6890,0.0647182351,0.0662006592
soft_all_r2_l0_p4,predsrc_ls050_nonls035,mid,1711,0.0719508014,0.0729940242
soft_all_r2_l0_p4,predsrc_ls050_nonls035,far,1975,0.0700407157,0.0700986011
soft_all_r2_l0_p4,peer050_fallback025,all,10576,0.0668930732,0.0680787938
soft_all_r2_l0_p4,peer050_fallback025,seed0,2644,0.0704426376,0.0713661302
soft_all_r2_l0_p4,peer050_fallback025,seed1,2644,0.0631369299,0.0644679552
soft_all_r2_l0_p4,peer050_fallback025,seed2,2644,0.0653717662,0.0668046092
soft_all_r2_l0_p4,peer050_fallback025,seed70404,2644,0.0683873384,0.0694751110
soft_all_r2_l0_p4,peer050_fallback025,new2025,1516,0.0779610118,0.0797533421
soft_all_r2_l0_p4,peer050_fallback025,shared2025,1508,0.0504178538,0.0513951813
soft_all_r2_l0_p4,peer050_fallback025,near,6890,0.0646604121,0.0662006592
soft_all_r2_l0_p4,peer050_fallback025,mid,1711,0.0717765883,0.0729940242
soft_all_r2_l0_p4,peer050_fallback025,far,1975,0.0700903935,0.0700986011
soft_all_r2_l0_p4,peer050_purity80_040_fallback025,all,10576,0.0668946053,0.0680787938
soft_all_r2_l0_p4,peer050_purity80_040_fallback025,seed0,2644,0.0704445961,0.0713661302
