group,label,weight_archive,n,rmse,mae
year,2020,0.2600000000,570,0.0670622892,0.0403070116
year,2020,0.2800000000,570,0.0670990055,0.0403390836
year,2020,0.3000000000,570,0.0671372949,0.0403740038
year,2020,0.3200000000,570,0.0671771549,0.0404098720
year,2020,0.3400000000,570,0.0672185825,0.0404487183
year,2020,0.3600000000,570,0.0672615748,0.0404895951
year,2020,0.3800000000,570,0.0673061290,0.0405317128
year,2020,0.4000000000,570,0.0673522418,0.0405758888
year,2020,0.4200000000,570,0.0673999100,0.0406225013
year,2020,0.4400000000,570,0.0674491305,0.0406700199
year,2020,0.4600000000,570,0.0674998998,0.0407200352
year,2020,0.4800000000,570,0.0675522143,0.0407727329
year,2020,0.5000000000,570,0.0676060705,0.0408268783
year,2021,0.0000000000,483,0.0852517352,0.0547374069
year,2021,0.0200000000,483,0.0852503658,0.0547139102
year,2021,0.0400000000,483,0.0852508178,0.0546908293
year,2021,0.0600000000,483,0.0852530910,0.0546682679
year,2021,0.0800000000,483,0.0852571854,0.0546471567
year,2021,0.1000000000,483,0.0852631007,0.0546261701
year,2021,0.1200000000,483,0.0852708364,0.0546051834
year,2021,0.1400000000,483,0.0852803922,0.0545841967
year,2021,0.1600000000,483,0.0852917674,0.0545690546
year,2021,0.1800000000,483,0.0853049612,0.0545545668
year,2021,0.2000000000,483,0.0853199729,0.0545420999
year,2021,0.2200000000,483,0.0853368015,0.0545310191
year,2021,0.2400000000,483,0.0853554458,0.0545239525
year,2021,0.2600000000,483,0.0853759048,0.0545170588
year,2021,0.2800000000,483,0.0853981770,0.0545111572
year,2021,0.3000000000,483,0.0854222611,0.0545069480
year,2021,0.3200000000,483,0.0854481556,0.0545032516
year,2021,0.3400000000,483,0.0854758588,0.0545043491
year,2021,0.3600000000,483,0.0855053689,0.0545095210
year,2021,0.3800000000,483,0.0855366841,0.0545150114
year,2021,0.4000000000,483,0.0855698024,0.0545205671
year,2021,0.4200000000,483,0.0856047217,0.0545264886
year,2021,0.4400000000,483,0.0856414398,0.0545324279
year,2021,0.4600000000,483,0.0856799544,0.0545399658
year,2021,0.4800000000,483,0.0857202630,0.0545475036
year,2021,0.5000000000,483,0.0857623632,0.0545553998
year,2022,0.0000000000,495,0.0677608569,0.0418618813
year,2022,0.0200000000,495,0.0677385625,0.0418250164
