seed,radius,crop,method,pred,n,rmse,coverage
0,8,1,median,blend0.4,2644,0.09874107926963506,0.9950832072617246
0,8,1,median,hard,2644,0.1867325927161546,0.9950832072617246
0,8,1,median,blend0.01,2644,0.0713751646110145,0.9950832072617246
0,8,1,median,blend0.02,2644,0.07142646143341319,0.9950832072617246
0,8,1,median,blend0.03,2644,0.07151992972485688,0.9950832072617246
0,8,1,median,blend0.05,2644,0.0718326479648924,0.9950832072617246
0,8,1,median,blend0.08,2644,0.07261157209494164,0.9950832072617246
0,8,1,median,blend0.1,2644,0.07333229998370575,0.9950832072617246
0,8,1,median,blend0.15,2644,0.07580379450038291,0.9950832072617246
0,8,1,median,blend0.2,2644,0.07915615221141296,0.9950832072617246
0,8,1,median,blend0.3,2644,0.08807573544937693,0.9950832072617246
0,8,1,median,blend0.4,2644,0.09925997404289898,0.9950832072617246
0,8,1,mean,mix,2644,0.1758573390822377,0.9950832072617246
0,8,1,mean,blend0.01,2644,0.07137047104816387,0.9950832072617246
0,8,1,mean,blend0.02,2644,0.07141162549521672,0.9950832072617246
0,8,1,mean,blend0.03,2644,0.0714895299578687,0.9950832072617246
0,8,1,mean,blend0.05,2644,0.0717550536724747,0.9950832072617246
0,8,1,mean,blend0.08,2644,0.07242419398703041,0.9950832072617246
0,8,1,mean,blend0.1,2644,0.07304699790935976,0.9950832072617246
0,8,1,mean,blend0.15,2644,0.0751954324875586,0.9950832072617246
0,8,1,mean,blend0.2,2644,0.07812973325055352,0.9950832072617246
0,8,1,mean,blend0.3,2644,0.08601336222702871,0.9950832072617246
0,8,1,mean,blend0.4,2644,0.09601038326637494,0.9950832072617246
0,8,1,mean,hard,2644,0.17718237870065692,0.9950832072617246
0,8,1,mean,blend0.01,2644,0.07137213166786717,0.9950832072617246
0,8,1,mean,blend0.02,2644,0.07141556964848973,0.9950832072617246
0,8,1,mean,blend0.03,2644,0.0714963759019217,0.9950832072617246
0,8,1,mean,blend0.05,2644,0.07176952997862772,0.9950832072617246
0,8,1,mean,blend0.08,2644,0.07245453197611001,0.9950832072617246
0,8,1,mean,blend0.1,2644,0.07309070094750927,0.9950832072617246
0,8,1,mean,blend0.15,2644,0.0752813385497057,0.9950832072617246
0,8,1,mean,blend0.2,2644,0.07826847091814593,0.9950832072617246
0,8,1,mean,blend0.3,2644,0.08627997139255088,0.9950832072617246
0,8,1,mean,blend0.4,2644,0.09642142052418881,0.9950832072617246
0,8,0,median,mix,2644,0.1873950250284916,0.9977307110438729
0,8,0,median,blend0.01,2644,0.07137308950815868,0.9977307110438729
0,8,0,median,blend0.02,2644,0.0714228272212185,0.9977307110438729
0,8,0,median,blend0.03,2644,0.07151525407839456,0.9977307110438729
0,8,0,median,blend0.05,2644,0.07182743993089709,0.9977307110438729
0,8,0,median,blend0.08,2644,0.07260938495413205,0.9977307110438729
0,8,0,median,blend0.1,2644,0.0733345900477779,0.9977307110438729
0,8,0,median,blend0.15,2644,0.07582524283012337,0.9977307110438729
0,8,0,median,blend0.2,2644,0.0792066738686913,0.9977307110438729
0,8,0,median,blend0.3,2644,0.08820617780233352,0.9977307110438729
0,8,0,median,blend0.4,2644,0.09948798896822968,0.9977307110438729
0,8,0,median,hard,2644,0.19082149489948766,0.9977307110438729
0,8,0,median,blend0.01,2644,0.07137453123985155,0.9977307110438729
0,8,0,median,blend0.02,2644,0.07142750808770205,0.9977307110438729
0,8,0,median,blend0.03,2644,0.07152496168912449,0.9977307110438729
0,8,0,median,blend0.05,2644,0.07185249267742944,0.9977307110438729
0,8,0,median,blend0.08,2644,0.0726702606037534,0.9977307110438729
0,8,0,median,blend0.1,2644,0.07342743115869312,0.9977307110438729
0,8,0,median,blend0.15,2644,0.07602332120286402,0.9977307110438729
0,8,0,median,blend0.2,2644,0.0795402656797656,0.9977307110438729
0,8,0,median,blend0.3,2644,0.0888725108930167,0.9977307110438729
0,8,0,median,blend0.4,2644,0.10053156534457049,0.9977307110438729
0,8,0,mean,mix,2644,0.17824999184186896,0.9977307110438729
0,8,0,mean,blend0.01,2644,0.0713752582012651,0.9977307110438729
