seed,route,policy,alpha,n,rmse,rmse_base
70404,fixed_r8,fixed,0.3000000000,2644,0.0686315612,0.0694751110
70404,fixed_r8,fixed,0.4000000000,2644,0.0685876124,0.0694751110
70404,fixed_r8,fixed,0.5000000000,2644,0.0686631728,0.0694751110
70404,fixed_r8,fixed,0.6000000000,2644,0.0688578489,0.0694751110
70404,fixed_r8,cohort_year_dist,,2644,0.0685569393,0.0694751110
70404,fixed_r16,fixed,0.2000000000,2644,0.0689198396,0.0694751110
70404,fixed_r16,fixed,0.3000000000,2644,0.0688178007,0.0694751110
70404,fixed_r16,fixed,0.4000000000,2644,0.0688337197,0.0694751110
70404,fixed_r16,fixed,0.5000000000,2644,0.0689675147,0.0694751110
70404,fixed_r16,fixed,0.6000000000,2644,0.0692185024,0.0694751110
70404,fixed_r16,cohort_year_dist,,2644,0.0689689863,0.0694751110
70404,fixed_r32,fixed,0.2000000000,2644,0.0687765464,0.0694751110
70404,fixed_r32,fixed,0.3000000000,2644,0.0686006920,0.0694751110
70404,fixed_r32,fixed,0.4000000000,2644,0.0685418380,0.0694751110
70404,fixed_r32,fixed,0.5000000000,2644,0.0686002853,0.0694751110
70404,fixed_r32,fixed,0.6000000000,2644,0.0687757349,0.0694751110
70404,fixed_r32,cohort_year_dist,,2644,0.0685868989,0.0694751110
70404,vote_r2_r4,fixed,0.2000000000,2644,0.0687803769,0.0694751110
70404,vote_r2_r4,fixed,0.3000000000,2644,0.0686131627,0.0694751110
70404,vote_r2_r4,fixed,0.4000000000,2644,0.0685674324,0.0694751110
70404,vote_r2_r4,fixed,0.5000000000,2644,0.0686434286,0.0694751110
70404,vote_r2_r4,fixed,0.6000000000,2644,0.0688407484,0.0694751110
70404,vote_r2_r4,cohort_year_dist,,2644,0.0684923370,0.0694751110
