dataset,partition,lag_weight,mode,n,rmse,baseline_rmse,delta_rmse,coverage,map_global
random,random_1,0.350000000,source_mode,2644,0.065739756,0.065624984,0.000114772,0.692133132,0.002234875
random,random_1,0.350000000,source_doy_soft,2644,0.065671035,0.065624984,0.000046051,0.692133132,0.002234875
random,random_1,0.350000000,source_doy_mode,2644,0.065671217,0.065624984,0.000046232,0.692133132,0.002234875
random,random_1,0.400000000,none,2644,0.065768870,0.065768870,0.000000000,0.692133132,0.000000000
random,random_1,0.400000000,global,2644,0.065814267,0.065768870,0.000045396,0.692133132,0.002294392
random,random_1,0.400000000,doy,2644,0.065797538,0.065768870,0.000028667,0.692133132,0.002294392
random,random_1,0.400000000,source_oracle,2644,0.065597822,0.065768870,-0.000171049,0.692133132,0.002294392
random,random_1,0.400000000,source_soft,2644,0.065846780,0.065768870,0.000077909,0.692133132,0.002294392
random,random_1,0.400000000,source_mode,2644,0.065871924,0.065768870,0.000103054,0.692133132,0.002294392
random,random_1,0.400000000,source_doy_soft,2644,0.065816859,0.065768870,0.000047988,0.692133132,0.002294392
random,random_1,0.400000000,source_doy_mode,2644,0.065817093,0.065768870,0.000048223,0.692133132,0.002294392
random,random_2,0.300000000,none,2644,0.067537141,0.067537141,0.000000000,0.669062027,0.000000000
random,random_2,0.300000000,global,2644,0.067504654,0.067537141,-0.000032486,0.669062027,0.001661360
random,random_2,0.300000000,doy,2644,0.067574803,0.067537141,0.000037662,0.669062027,0.001661360
random,random_2,0.300000000,source_oracle,2644,0.067275578,0.067537141,-0.000261563,0.669062027,0.001661360
random,random_2,0.300000000,source_soft,2644,0.067564299,0.067537141,0.000027158,0.669062027,0.001661360
random,random_2,0.300000000,source_mode,2644,0.067638573,0.067537141,0.000101432,0.669062027,0.001661360
random,random_2,0.300000000,source_doy_soft,2644,0.067504654,0.067537141,-0.000032486,0.669062027,0.001661360
random,random_2,0.300000000,source_doy_mode,2644,0.067504654,0.067537141,-0.000032486,0.669062027,0.001661360
random,random_2,0.325000000,none,2644,0.067624154,0.067624154,0.000000000,0.669062027,0.000000000
