group,model,cap,cohort,n,rmse,baseline_rmse,delta_rmse
group_aoi,hgb8,0.06,2025,1395,0.07173201952627124,0.07101334912358867,0.0007186704026825724
group_aoi,hgb8,0.06,new,4236,0.06448176187160146,0.0644904844033126,-8.722531711150006e-06
group_aoi,hgb8,0.06,shared,637,0.06045681234187122,0.059827799428191435,0.0006290129136797828
group_aoi,hgb8,0.06,new_history,3478,0.060577909036324755,0.06081400093315939,-0.0002360918968346351
group_aoi,hgb8,0.06,new_2025,758,0.07998760292572969,0.07920102091507013,0.0007865820106595645
group_aoi,hgb8,0.06,shared_2025,637,0.06045681234187122,0.059827799428191435,0.0006290129136797828
group_aoi,hgb8,0.08,all,4873,0.06397000944816361,0.06390031021056207,6.969923760154206e-05
group_aoi,hgb8,0.08,history,3478,0.060577909036324755,0.06081400093315939,-0.0002360918968346351
group_aoi,hgb8,0.08,2025,1395,0.07173201952627124,0.07101334912358867,0.0007186704026825724
group_aoi,hgb8,0.08,new,4236,0.06448176187160146,0.0644904844033126,-8.722531711150006e-06
group_aoi,hgb8,0.08,shared,637,0.06045681234187122,0.059827799428191435,0.0006290129136797828
group_aoi,hgb8,0.08,new_history,3478,0.060577909036324755,0.06081400093315939,-0.0002360918968346351
group_aoi,hgb8,0.08,new_2025,758,0.07998760292572969,0.07920102091507013,0.0007865820106595645
group_aoi,hgb8,0.08,shared_2025,637,0.06045681234187122,0.059827799428191435,0.0006290129136797828
group_aoi,hgb16,0.02,all,4873,0.06401068292938786,0.06390031021056207,0.00011037271882578803
group_aoi,hgb16,0.02,history,3478,0.060753974627049075,0.06081400093315939,-6.00263061103154e-05
group_aoi,hgb16,0.02,2025,1395,0.07148710164291816,0.07101334912358867,0.00047375251932949003
group_aoi,hgb16,0.02,new,4236,0.06455334263379958,0.0644904844033126,6.28582304869757e-05
group_aoi,hgb16,0.02,shared,637,0.060277903688939975,0.059827799428191435,0.0004501042607485406
group_aoi,hgb16,0.02,new_history,3478,0.060753974627049075,0.06081400093315939,-6.00263061103154e-05
group_aoi,hgb16,0.02,new_2025,758,0.07969701695332959,0.07920102091507013,0.0004959960382594636
group_aoi,hgb16,0.02,shared_2025,637,0.060277903688939975,0.059827799428191435,0.0004501042607485406
group_aoi,hgb16,0.04,all,4873,0.06402814920219801,0.06390031021056207,0.00012783899163594514
group_aoi,hgb16,0.04,history,3478,0.060757359306108136,0.06081400093315939,-5.6641627051254306e-05
group_aoi,hgb16,0.04,2025,1395,0.07153455349934003,0.07101334912358867,0.0005212043757513579
group_aoi,hgb16,0.04,new,4236,0.06458255342879952,0.0644904844033126,9.206902548691831e-05
group_aoi,hgb16,0.04,shared,637,0.06021170216915562,0.059827799428191435,0.0003839027409641843
group_aoi,hgb16,0.04,new_history,3478,0.060757359306108136,0.06081400093315939,-5.6641627051254306e-05
group_aoi,hgb16,0.04,new_2025,758,0.07981733976851699,0.07920102091507013,0.0006163188534468594
group_aoi,hgb16,0.04,shared_2025,637,0.06021170216915562,0.059827799428191435,0.0003839027409641843
group_aoi,hgb16,0.06,all,4873,0.06402665915521734,0.06390031021056207,0.00012634894465526902
group_aoi,hgb16,0.06,history,3478,0.060755159209944655,0.06081400093315939,-5.8841723214735075e-05
group_aoi,hgb16,0.06,2025,1395,0.07153455349934003,0.07101334912358867,0.0005212043757513579
group_aoi,hgb16,0.06,new,4236,0.06458085402408534,0.0644904844033126,9.03696207727317e-05
group_aoi,hgb16,0.06,shared,637,0.06021170216915562,0.059827799428191435,0.0003839027409641843
group_aoi,hgb16,0.06,new_history,3478,0.060755159209944655,0.06081400093315939,-5.8841723214735075e-05
group_aoi,hgb16,0.06,new_2025,758,0.07981733976851699,0.07920102091507013,0.0006163188534468594
group_aoi,hgb16,0.06,shared_2025,637,0.06021170216915562,0.059827799428191435,0.0003839027409641843
group_aoi,hgb16,0.08,all,4873,0.06402665915521734,0.06390031021056207,0.00012634894465526902
group_aoi,hgb16,0.08,history,3478,0.060755159209944655,0.06081400093315939,-5.8841723214735075e-05
group_aoi,hgb16,0.08,2025,1395,0.07153455349934003,0.07101334912358867,0.0005212043757513579
group_aoi,hgb16,0.08,new,4236,0.06458085402408534,0.0644904844033126,9.03696207727317e-05
group_aoi,hgb16,0.08,shared,637,0.06021170216915562,0.059827799428191435,0.0003839027409641843
group_aoi,hgb16,0.08,new_history,3478,0.060755159209944655,0.06081400093315939,-5.8841723214735075e-05
group_aoi,hgb16,0.08,new_2025,758,0.07981733976851699,0.07920102091507013,0.0006163188534468594
group_aoi,hgb16,0.08,shared_2025,637,0.06021170216915562,0.059827799428191435,0.0003839027409641843
group_aoiyear,ridge30,0.02,all,4814,0.07816595391208665,0.07828438403249433,-0.00011843012040767265
group_aoiyear,ridge30,0.02,history,3402,0.06561715027927513,0.06642257497532737,-0.0008054246960522427
group_aoiyear,ridge30,0.02,2025,1412,0.10226005112847467,0.10131168943801397,0.0009483616904606973
group_aoiyear,ridge30,0.02,new,4025,0.08132107127317936,0.08150395229491074,-0.00018288102173137644
group_aoiyear,ridge30,0.02,shared,789,0.059522209014566514,0.05919489273644048,0.0003273162781260372
group_aoiyear,ridge30,0.02,new_history,3402,0.06561715027927513,0.06642257497532737,-0.0008054246960522427
