radius,method,policy,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
16,mean,override6035,bucket_0_0.005,0.06676193727256574,0.06301985090683734,0.07037948254596321
2,median,dist502,bucket_0.005_0.02,0.06676206521252193,0.06296689999705268,0.0703862934843677
1,mean,override6035,route_plus_direct_0.005,0.06676256627898418,0.06304259741762916,0.07037773021158665
1,mean,override6035,bucket_0.005_0.005,0.06676256627898418,0.06304259741762916,0.07037773021158665
1,median,override6035,bucket_0.005_0.005,0.06676256627898418,0.06304259741762916,0.07037773021158665
1,median,override6035,route_plus_direct_0.005,0.06676256627898418,0.06304259741762916,0.07037773021158665
16,median,override6035,bucket_0_0.005,0.06676303077476393,0.06301976749855355,0.07037973510317548
2,mean,override5525,bucket_0.005_0.01,0.06676319101695607,0.0630191190204021,0.0703721985310177
4,median,override5525,bucket_0.005_0.02,0.0667632117723262,0.06303959189715544,0.07033988803307002
4,mean,dist502,bucket_0_0.02,0.06676325020352128,0.06296781537237062,0.07035867152962914
8,mean,override6035,bucket_0.005_0.02,0.06676339956028558,0.06303269096040207,0.07037071094512042
2,mean,dist503,bucket_0_0.02,0.06676360027313849,0.06296537290170102,0.07039690372819632
1,mean,override6035,bucket_0.005_0,0.06676371014022948,0.06303476391259169,0.07038101236834202
1,median,override6035,bucket_0.005_0,0.06676371014022948,0.06303476391259169,0.07038101236834202
16,median,override6035,bucket_0_0.01,0.06676386274843786,0.06302170916416748,0.0703771721257426
4,median,override6035,route_plus_direct_0.01,0.06676426225539434,0.06304737043801151,0.07036379868847698
4,median,override6035,bucket_0.01_0.01,0.06676426225539434,0.06304737043801151,0.07036379868847698
8,median,override6035,bucket_0_0.02,0.06676474504675849,0.0630330184604804,0.07036916966793014
4,mean,override5525,bucket_0.005_0.03,0.06676483349677609,0.0630342674294929,0.07033272197835753
1,mean,override6035,bucket_0.005_0.01,0.0667650515516416,0.06305436151448693,0.0703774847438647
1,median,override6035,bucket_0.005_0.01,0.0667650515516416,0.06305436151448693,0.0703774847438647
2,mean,override5525,bucket_0.005_0.03,0.06676512410275069,0.06302484194120415,0.0703883468774569
1,mean,override6035,bucket_0_0.005,0.06676527818792803,0.06303033409085128,0.07038251778280842
1,median,override6035,bucket_0_0.005,0.06676527818792803,0.06303033409085128,0.07038251778280842
2,mean,dist502,bucket_0.005_0.02,0.06676531082015442,0.0629679633109242,0.07039069073751232
2,median,dist503,bucket_0.005_0.02,0.06676541748129226,0.06297125300262142,0.07038805204488945
4,mean,override5525,bucket_0.005_0.01,0.0667659051185554,0.06302918492366963,0.07035972404730421
2,median,override5525,bucket_0.01_0.02,0.06676601751711568,0.0630263226811096,0.07037384183881434
8,mean,override6035,route_plus_direct_0.005,0.06676606771219719,0.06302568275361724,0.07038138357304954
8,mean,override6035,bucket_0.005_0.005,0.06676606771219719,0.06302568275361724,0.07038138357304954
4,median,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
16,median,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
4,median,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
8,median,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
16,mean,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
1,median,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
16,median,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
1,mean,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
1,mean,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
2,mean,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
8,median,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
2,median,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
2,mean,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
4,mean,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
8,mean,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
2,median,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
1,median,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
8,mean,override6035,route_plus_direct_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
16,mean,override6035,bucket_0_0,0.06676642200271214,0.06302249906151959,0.0703857997163148
