year,bd,robust,base,alpha,n,rmse,mae,facn
2019,12,trimmean,lag,0.1,249,0.06398435430593145,0.04466539407844151,247
2019,12,trimmean,lag,0.2,249,0.0645720412630665,0.045305440789594725,247
2019,12,trimmean,lag,0.3,249,0.06624082199042892,0.04696213438737007,247
2019,12,trimmean,lag,0.4,249,0.06891220175856055,0.04991406386175754,247
2019,12,trimmean,lag,0.5,249,0.07247540046535625,0.05354256538892292,247
2019,12,trimmean,lag,0.7,249,0.08178330587525294,0.06205252135056913,247
2019,12,trimmean,lag,1.0,249,0.09956329796649385,0.07805307652589906,247
2019,12,trimmean,lag,1.5,249,0.13469110451408564,0.10761435940348947,247
2019,12,trimmean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,12,trimmean,base,0.1,249,0.06401805957349775,0.045732799453957806,247
2019,12,trimmean,base,0.2,249,0.06409774336032205,0.045052134651163096,247
2019,12,trimmean,base,0.3,249,0.06527998563397398,0.04588639122721448,247
2019,12,trimmean,base,0.4,249,0.0675068841897945,0.04789530600184654,247
2019,12,trimmean,base,0.5,249,0.07067976633954827,0.05108405269776834,247
2019,12,trimmean,base,0.7,249,0.07937739280097186,0.05915709128055193,247
