year,subset,method,n,rmse
2023,period_modis,converted6,67,0.06051715222221061
2023,period_modis,converted8,67,0.0602993870886654
2023,period_modis,converted12,67,0.058082970057935446
2023,period_modis,converted16,67,0.05662354628342851
2024,all,prod,152,0.05923181948845261
2024,all,raw2,152,0.1071622933928705
2024,all,raw3,152,0.10854715768792833
2024,all,raw4,152,0.11161686665294637
2024,all,raw6,152,0.1181801746013261
2024,all,raw8,152,0.1265120452723227
2024,all,raw12,152,0.1326697749955879
2024,all,raw16,152,0.13277547205901832
2024,all,converted2,152,0.1011582727933028
2024,all,converted3,152,0.09878329479313645
2024,all,converted4,152,0.09880954562946277
2024,all,converted6,152,0.09951519448436771
2024,all,converted8,152,0.10002770247407354
2024,all,converted12,152,0.1005832271247073
2024,all,converted16,152,0.1017625333561427
2024,period,prod,83,0.06680429730766327
2024,period,raw2,83,0.11350362215999528
2024,period,raw3,83,0.11485457213487653
2024,period,raw4,83,0.1188377179622044
2024,period,raw6,83,0.12413621799180395
2024,period,raw8,83,0.13208146371963442
2024,period,raw12,83,0.13687740705384732
2024,period,raw16,83,0.13687740705384732
2024,period,converted2,83,0.0985252724719187
2024,period,converted3,83,0.0986041954505025
2024,period,converted4,83,0.09879772216040233
2024,period,converted6,83,0.09914978878798142
2024,period,converted8,83,0.09967386134379112
2024,period,converted12,83,0.09993950628403866
2024,period,converted16,83,0.10076902239723844
2024,true_modis,prod,39,0.07491712681432684
2024,true_modis,raw2,39,0.05525952029641186
2024,true_modis,raw3,39,0.05819825240026092
2024,true_modis,raw4,39,0.06252689492072992
2024,true_modis,raw6,39,0.06256719338394574
2024,true_modis,raw8,39,0.06604436278409985
2024,true_modis,raw12,39,0.06960364613536071
2024,true_modis,raw16,39,0.06960364613536071
2024,true_modis,converted2,39,0.0765519304531512
2024,true_modis,converted3,39,0.0664830237626984
2024,true_modis,converted4,39,0.06643952106008148
2024,true_modis,converted6,39,0.06579527188954276
2024,true_modis,converted8,39,0.06492990849436187
2024,true_modis,converted12,39,0.06373868399482178
2024,true_modis,converted16,39,0.06303605747814119
2024,period_modis,prod,39,0.07491712681432684
2024,period_modis,raw2,39,0.05525952029641186
2024,period_modis,raw3,39,0.05819825240026092
2024,period_modis,raw4,39,0.06252689492072992
2024,period_modis,raw6,39,0.06256719338394574
2024,period_modis,raw8,39,0.06604436278409985
2024,period_modis,raw12,39,0.06960364613536071
2024,period_modis,raw16,39,0.06960364613536071
2024,period_modis,converted2,39,0.0765519304531512
2024,period_modis,converted3,39,0.0664830237626984
2024,period_modis,converted4,39,0.06643952106008148
2024,period_modis,converted6,39,0.06579527188954276
2024,period_modis,converted8,39,0.06492990849436187
2024,period_modis,converted12,39,0.06373868399482178
2024,period_modis,converted16,39,0.06303605747814119
