base,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
b_hgb,n16_c80_r125_k2,0.120000000,0.250000000,-0.150000000,0.062600536,0.063405532,-0.000804995,6,6,0.710053860,0.068914765,0.069826420,-0.000911654,3,3,0.568078669,0.062667964,0.063396855,-0.000728891,3,3,0.833774250,-0.000728891,-0.000815180,True
b_hgb,n16_c80_r125_k3,0.100000000,0.300000000,-0.050000000,0.062608524,0.063405532,-0.000797007,6,6,0.710053860,0.069004023,0.069826420,-0.000822397,3,3,0.568078669,0.062668134,0.063396855,-0.000728721,3,3,0.833774250,-0.000728721,-0.000782708,True
b_hgb,n16_c80_r125_k3,0.100000000,0.350000000,-0.050000000,0.062616152,0.063405532,-0.000789380,6,6,0.710053860,0.069008650,0.069826420,-0.000817770,3,3,0.568078669,0.062668433,0.063396855,-0.000728422,3,3,0.833774250,-0.000728422,-0.000778524,True
b_hgb,n16_c80_r125_k2,0.100000000,0.250000000,-0.150000000,0.062644106,0.063405532,-0.000761426,6,6,0.710053860,0.068956337,0.069826420,-0.000870082,3,3,0.568078669,0.062669219,0.063396855,-0.000727636,3,3,0.833774250,-0.000727636,-0.000786382,True
b_hgb,n16_c80_r125_k3,0.120000000,0.250000000,-0.150000000,0.062555095,0.063405532,-0.000850437,6,6,0.710053860,0.068930884,0.069826420,-0.000895536,3,3,0.568078669,0.062669719,0.063396855,-0.000727136,3,3,0.833774250,-0.000727136,-0.000824370,True
b_hgb,n16_c80_r125_k2,0.120000000,0.250000000,-0.050000000,0.062602180,0.063405532,-0.000803352,6,6,0.710053860,0.068956848,0.069826420,-0.000869572,3,3,0.568078669,0.062670430,0.063396855,-0.000726425,3,3,0.833774250,-0.000726425,-0.000799783,True
b_hgb,n16_c60_r125_k2,0.120000000,0.250000000,-0.050000000,0.062679719,0.063405532,-0.000725812,6,6,0.899461400,0.068873761,0.069826420,-0.000952658,3,3,0.685577408,0.062605921,0.063396855,-0.000790934,3,3,0.933862434,-0.000725812,-0.000823135,True
b_hgb,n16_c80_r125_k3,0.120000000,0.325000000,-0.200000000,0.062572550,0.063405532,-0.000832981,6,6,0.710053860,0.068911962,0.069826420,-0.000914458,3,3,0.568078669,0.062671171,0.063396855,-0.000725684,3,3,0.833774250,-0.000725684,-0.000824374,True
b_hgb,n16_c80_r125_k3,0.120000000,0.300000000,-0.200000000,0.062568191,0.063405532,-0.000837340,6,6,0.710053860,0.068911111,0.069826420,-0.000915309,3,3,0.568078669,0.062671568,0.063396855,-0.000725287,3,3,0.833774250,-0.000725287,-0.000825979,True
b_hgb,n16_c80_r125_k3,0.120000000,0.250000000,-0.050000000,0.062556947,0.063405532,-0.000848584,6,6,0.710053860,0.068973419,0.069826420,-0.000853000,3,3,0.568078669,0.062671926,0.063396855,-0.000724929,3,3,0.833774250,-0.000724929,-0.000808838,True
b_hgb,n16_c60_r125_k2,0.120000000,0.250000000,-0.150000000,0.062681045,0.063405532,-0.000724486,6,6,0.899461400,0.068830894,0.069826420,-0.000995526,3,3,0.685577408,0.062604314,0.063396855,-0.000792541,3,3,0.933862434,-0.000724486,-0.000837518,True
b_hgb,n16_c80_r125_k2,0.100000000,0.250000000,-0.050000000,0.062648366,0.063405532,-0.000757165,6,6,0.710053860,0.068999377,0.069826420,-0.000827043,3,3,0.568078669,0.062673580,0.063396855,-0.000723275,3,3,0.833774250,-0.000723275,-0.000769161,True
b_hgb,n16_c80_r125_k3,0.120000000,0.350000000,-0.200000000,0.062580215,0.063405532,-0.000825317,6,6,0.710053860,0.068916724,0.069826420,-0.000909696,3,3,0.568078669,0.062673920,0.063396855,-0.000722935,3,3,0.833774250,-0.000722935,-0.000819316,True
b_hgb,n16_c80_r125_k3,0.100000000,0.250000000,-0.100000000,0.062606825,0.063405532,-0.000798707,6,6,0.710053860,0.068989472,0.069826420,-0.000836948,3,3,0.568078669,0.062673953,0.063396855,-0.000722902,3,3,0.833774250,-0.000722902,-0.000786186,True
b_hgb,n16_c80_r125_k3,0.100000000,0.325000000,-0.200000000,0.062623559,0.063405532,-0.000781973,6,6,0.710053860,0.068950399,0.069826420,-0.000876020,3,3,0.568078669,0.062675015,0.063396855,-0.000721840,3,3,0.833774250,-0.000721840,-0.000793278,True
b_hgb,n16_c80_r125_k3,0.100000000,0.300000000,-0.200000000,0.062619959,0.063405532,-0.000785572,6,6,0.710053860,0.068950161,0.069826420,-0.000876259,3,3,0.568078669,0.062675993,0.063396855,-0.000720862,3,3,0.833774250,-0.000720862,-0.000794231,True
