mode,lag_weight,scale,exact_rmse,exact_base,exact_delta,exact_n,random_rmse,random_base,random_delta,random_n,random2025_rmse,random2025_base,random2025_delta,random2025_n,exact_wins,exact_folds,random_wins,random_folds,random2025_wins,random2025_folds,worst_delta,mean_delta
global,0.325000000,-0.325000000,0.061782751,0.061798059,-0.000015308,1114,0.071369265,0.071355396,0.000013869,5664,0.061490378,0.061489887,0.000000491,2268,3,6,1,3,1,3,0.000013869,-0.000000316
global,0.325000000,-0.300000000,0.061783858,0.061798059,-0.000014201,1114,0.071368048,0.071355396,0.000012652,5664,0.061490152,0.061489887,0.000000265,2268,3,6,1,3,1,3,0.000012652,-0.000000428
global,0.325000000,-0.275000000,0.061784976,0.061798059,-0.000013083,1114,0.071366857,0.071355396,0.000011461,5664,0.061489957,0.061489887,0.000000070,2268,3,6,1,3,2,3,0.000011461,-0.000000517
global,0.325000000,-0.250000000,0.061786107,0.061798059,-0.000011952,1114,0.071365690,0.071355396,0.000010294,5664,0.061489794,0.061489887,-0.000000093,2268,3,6,1,3,2,3,0.000010294,-0.000000584
global,0.325000000,-0.225000000,0.061787249,0.061798059,-0.000010810,1114,0.071364549,0.071355396,0.000009153,5664,0.061489662,0.061489887,-0.000000225,2268,3,6,1,3,2,3,0.000009153,-0.000000628
global,0.325000000,-0.200000000,0.061788403,0.061798059,-0.000009656,1114,0.071363432,0.071355396,0.000008036,5664,0.061489561,0.061489887,-0.000000326,2268,3,6,1,3,2,3,0.000008036,-0.000000649
global,0.325000000,-0.175000000,0.061789569,0.061798059,-0.000008490,1114,0.071362340,0.071355396,0.000006944,5664,0.061489492,0.061489887,-0.000000395,2268,3,6,1,3,2,3,0.000006944,-0.000000647
global,0.325000000,-0.150000000,0.061790746,0.061798059,-0.000007313,1114,0.071361273,0.071355396,0.000005877,5664,0.061489454,0.061489887,-0.000000433,2268,3,6,1,3,2,3,0.000005877,-0.000000623
global,0.325000000,-0.125000000,0.061791936,0.061798059,-0.000006124,1114,0.071360232,0.071355396,0.000004836,5664,0.061489448,0.061489887,-0.000000439,2268,3,6,1,3,2,3,0.000004836,-0.000000576
global,0.325000000,-0.100000000,0.061793137,0.061798059,-0.000004922,1114,0.071359215,0.071355396,0.000003819,5664,0.061489473,0.061489887,-0.000000414,2268,3,6,1,3,2,3,0.000003819,-0.000000506
global,0.325000000,-0.075000000,0.061794350,0.061798059,-0.000003710,1114,0.071358223,0.071355396,0.000002827,5664,0.061489529,0.061489887,-0.000000358,2268,3,6,1,3,2,3,0.000002827,-0.000000414
global,0.325000000,-0.050000000,0.061795574,0.061798059,-0.000002485,1114,0.071357255,0.071355396,0.000001859,5664,0.061489617,0.061489887,-0.000000270,2268,3,6,1,3,2,3,0.000001859,-0.000000298
global,0.325000000,-0.025000000,0.061796811,0.061798059,-0.000001248,1114,0.071356313,0.071355396,0.000000917,5664,0.061489736,0.061489887,-0.000000151,2268,3,6,1,3,2,3,0.000000917,-0.000000161
global,0.325000000,0.000000000,0.061798059,0.061798059,0.000000000,1114,0.071355396,0.071355396,0.000000000,5664,0.061489887,0.061489887,0.000000000,2268,0,6,0,3,0,3,0.000000000,0.000000000
global,0.325000000,0.025000000,0.061799319,0.061798059,0.000001260,1114,0.071354504,0.071355396,-0.000000892,5664,0.061490069,0.061489887,0.000000182,2268,3,6,2,3,1,3,0.000001260,0.000000183
global,0.325000000,0.050000000,0.061800591,0.061798059,0.000002532,1114,0.071353636,0.071355396,-0.000001760,5664,0.061490283,0.061489887,0.000000396,2268,3,6,2,3,1,3,0.000002532,0.000000389
global,0.325000000,0.075000000,0.061801875,0.061798059,0.000003816,1114,0.071352794,0.071355396,-0.000002602,5664,0.061490528,0.061489887,0.000000640,2268,3,6,2,3,1,3,0.000003816,0.000000618
global,0.325000000,0.100000000,0.061803170,0.061798059,0.000005111,1114,0.071351976,0.071355396,-0.000003420,5664,0.061490804,0.061489887,0.000000917,2268,3,6,2,3,1,3,0.000005111,0.000000869
global,0.325000000,0.125000000,0.061804477,0.061798059,0.000006418,1114,0.071351184,0.071355396,-0.000004212,5664,0.061491111,0.061489887,0.000001224,2268,3,6,2,3,1,3,0.000006418,0.000001143
global,0.325000000,0.150000000,0.061805796,0.061798059,0.000007737,1114,0.071350416,0.071355396,-0.000004980,5664,0.061491451,0.061489887,0.000001563,2268,3,6,2,3,1,3,0.000007737,0.000001440
