route,features,group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved
all,candidate,group_aoiyear,0,2,hgb8,0.01,547,0.06892875093307939,0.06898995501249078,-6.120407941138939e-05,1
all,candidate,group_aoiyear,0,2,hgb8,0.02,547,0.06883039109445524,0.06898995501249078,-0.00015956391803553793,1
all,candidate,group_aoiyear,0,2,hgb8,0.03,547,0.06883018530877108,0.06898995501249078,-0.00015976970371969768,1
all,candidate,group_aoiyear,0,2,hgb8,0.04,547,0.06883018530877108,0.06898995501249078,-0.00015976970371969768,1
all,candidate,group_aoiyear,0,2,hgb8,0.06,547,0.06883018530877108,0.06898995501249078,-0.00015976970371969768,1
all,candidate,group_aoiyear,0,3,hgb8,0.01,535,0.09543513661835887,0.09542867390983333,6.462708525542538e-06,0
all,candidate,group_aoiyear,0,3,hgb8,0.02,535,0.09535819800187095,0.09542867390983333,-7.047590796237235e-05,1
all,candidate,group_aoiyear,0,3,hgb8,0.03,535,0.09535818042963402,0.09542867390983333,-7.04934801993018e-05,1
all,candidate,group_aoiyear,0,3,hgb8,0.04,535,0.09535818042963402,0.09542867390983333,-7.04934801993018e-05,1
all,candidate,group_aoiyear,0,3,hgb8,0.06,535,0.09535818042963402,0.09542867390983333,-7.04934801993018e-05,1
all,candidate,group_aoiyear,1,1,ridge30,0.01,532,0.0652894641085161,0.06564734417311302,-0.000357880064596916,1
all,candidate,group_aoiyear,1,1,ridge30,0.02,532,0.06521730823805237,0.06564734417311302,-0.0004300359350606492,1
all,candidate,group_aoiyear,1,1,ridge30,0.03,532,0.0651982216611382,0.06564734417311302,-0.0004491225119748199,1
all,candidate,group_aoiyear,1,1,ridge30,0.04,532,0.0651982216611382,0.06564734417311302,-0.0004491225119748199,1
all,candidate,group_aoiyear,1,1,ridge30,0.06,532,0.0651982216611382,0.06564734417311302,-0.0004491225119748199,1
all,candidate,group_aoiyear,1,2,ridge30,0.01,540,0.09068744672548483,0.09069029969892455,-2.852973439715356e-06,1
all,candidate,group_aoiyear,1,2,ridge30,0.02,540,0.09071618749075706,0.09069029969892455,2.5887791832518436e-05,0
all,candidate,group_aoiyear,1,2,ridge30,0.03,540,0.09071618749075706,0.09069029969892455,2.5887791832518436e-05,0
all,candidate,group_aoiyear,1,2,ridge30,0.04,540,0.09071618749075706,0.09069029969892455,2.5887791832518436e-05,0
all,candidate,group_aoiyear,1,2,ridge30,0.06,540,0.09071618749075706,0.09069029969892455,2.5887791832518436e-05,0
all,candidate,group_aoiyear,1,3,ridge30,0.01,536,0.0681873662800946,0.06819689364449892,-9.527364404321448e-06,1
all,candidate,group_aoiyear,1,3,ridge30,0.02,536,0.06820562848416052,0.06819689364449892,8.734839661600491e-06,0
all,candidate,group_aoiyear,1,3,ridge30,0.03,536,0.06820562848416052,0.06819689364449892,8.734839661600491e-06,0
all,candidate,group_aoiyear,1,3,ridge30,0.04,536,0.06820562848416052,0.06819689364449892,8.734839661600491e-06,0
all,candidate,group_aoiyear,1,3,ridge30,0.06,536,0.06820562848416052,0.06819689364449892,8.734839661600491e-06,0
all,candidate,group_aoiyear,1,1,ridge100,0.01,532,0.06537001794748555,0.06564734417311302,-0.00027732622562746945,1
all,candidate,group_aoiyear,1,1,ridge100,0.02,532,0.06537001794748555,0.06564734417311302,-0.00027732622562746945,1
all,candidate,group_aoiyear,1,1,ridge100,0.03,532,0.06537001794748555,0.06564734417311302,-0.00027732622562746945,1
all,candidate,group_aoiyear,1,1,ridge100,0.04,532,0.06537001794748555,0.06564734417311302,-0.00027732622562746945,1
all,candidate,group_aoiyear,1,1,ridge100,0.06,532,0.06537001794748555,0.06564734417311302,-0.00027732622562746945,1
all,candidate,group_aoiyear,1,2,ridge100,0.01,540,0.0907535612631919,0.09069029969892455,6.326156426735008e-05,0
all,candidate,group_aoiyear,1,2,ridge100,0.02,540,0.09075717768198693,0.09069029969892455,6.687798306238835e-05,0
all,candidate,group_aoiyear,1,2,ridge100,0.03,540,0.09075717768198693,0.09069029969892455,6.687798306238835e-05,0
all,candidate,group_aoiyear,1,2,ridge100,0.04,540,0.09075717768198693,0.09069029969892455,6.687798306238835e-05,0
all,candidate,group_aoiyear,1,2,ridge100,0.06,540,0.09075717768198693,0.09069029969892455,6.687798306238835e-05,0
all,candidate,group_aoiyear,1,3,ridge100,0.01,536,0.06819540975650629,0.06819689364449892,-1.4838879926343251e-06,1
all,candidate,group_aoiyear,1,3,ridge100,0.02,536,0.06819295525525698,0.06819689364449892,-3.938389241939233e-06,1
all,candidate,group_aoiyear,1,3,ridge100,0.03,536,0.06819295525525698,0.06819689364449892,-3.938389241939233e-06,1
all,candidate,group_aoiyear,1,3,ridge100,0.04,536,0.06819295525525698,0.06819689364449892,-3.938389241939233e-06,1
all,candidate,group_aoiyear,1,3,ridge100,0.06,536,0.06819295525525698,0.06819689364449892,-3.938389241939233e-06,1
all,candidate,group_aoiyear,1,1,hgb8,0.01,532,0.06527711500385996,0.06564734417311302,-0.0003702291692530557,1
all,candidate,group_aoiyear,1,1,hgb8,0.02,532,0.06518325239208395,0.06564734417311302,-0.00046409178102907456,1
all,candidate,group_aoiyear,1,1,hgb8,0.03,532,0.0651603318995947,0.06564734417311302,-0.0004870122735183141,1
all,candidate,group_aoiyear,1,1,hgb8,0.04,532,0.0651603318995947,0.06564734417311302,-0.0004870122735183141,1
all,candidate,group_aoiyear,1,1,hgb8,0.06,532,0.0651603318995947,0.06564734417311302,-0.0004870122735183141,1
