radius,crop,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse,mean_delta_vs_global40
32,0,median,blend0.1,0.07094112054898856,0.06717850571960637,0.07405618339772961,
4,1,mean,blend0.15,0.07240855652455905,0.06908937342699507,0.07505147733308612,
8,1,mean,blend0.15,0.07255504223495965,0.0692515054487343,0.0752813385497057,
32,1,mean,blend0.15,0.0725898987041616,0.0692342102017899,0.0755404639888709,
16,1,mean,blend0.15,0.07261522942175096,0.06926358232125053,0.07541784221316451,
8,0,mean,blend0.15,0.07265057792518362,0.06898816931594874,0.07552318281561288,
4,0,mean,blend0.15,0.07269431576140721,0.06907185896213933,0.07546038016067648,
16,0,mean,blend0.15,0.07296816224542854,0.06935530195419017,0.07580749892040259,
4,1,median,blend0.15,0.07299151262991113,0.06998229320789216,0.07547322535851503,
1,1,median,blend0.15,0.07302036378778975,0.07005915593510159,0.07578961852049443,
1,1,mean,blend0.15,0.07302036378778975,0.07005915593510159,0.07578961852049443,
2,1,mean,blend0.15,0.07303145953039393,0.06951076627601721,0.07581223027888544,
8,1,median,blend0.15,0.07321634677250434,0.07006340083288005,0.07580379450038291,
1,0,median,blend0.15,0.0732410079088556,0.07013986911708449,0.07609854397027335,
1,0,mean,blend0.15,0.0732410079088556,0.07013986911708449,0.07609854397027335,
2,0,mean,blend0.15,0.0732490927793472,0.06946037242405328,0.07617244708918747,
32,0,mean,blend0.15,0.0732533570814139,0.06964277345200644,0.07606716764349443,
8,0,median,blend0.15,0.07325760646439627,0.06952400021042511,0.07602332120286402,
4,0,median,blend0.15,0.07327407650593268,0.06984005013534057,0.07592841506977117,
2,1,median,blend0.15,0.07328361373207012,0.06981803938600635,0.07604109035810111,
32,1,median,blend0.15,0.07329330269126645,0.06984451390897806,0.07626779550995993,
16,1,median,blend0.15,0.07337658416170545,0.0700792065392349,0.07609854709531008,
2,0,median,blend0.15,0.07354234190446589,0.06982158825973059,0.07642006752051998,
16,0,median,blend0.15,0.07372302367306004,0.07010572848282333,0.0765848222277099,
32,0,median,blend0.15,0.07398711885507275,0.07019248374083502,0.07688505225317549,
4,1,mean,blend0.2,0.07576315196500515,0.07260933572500088,0.07802619771022146,
32,1,mean,blend0.2,0.07580890719989253,0.07261048252588223,0.07851032277799733,
8,1,mean,blend0.2,0.07590638311169001,0.07279894752182955,0.07826847091814593,
16,1,mean,blend0.2,0.07590976411356641,0.07272896294986676,0.07839632704034394,
8,0,mean,blend0.2,0.07602506849502262,0.0723923036500836,0.07865402991587715,
4,0,mean,blend0.2,0.0762046534566597,0.07261688752868938,0.07870924203612745,
16,0,mean,blend0.2,0.07641228755226451,0.0728683861355313,0.07896908040070388,
4,1,median,blend0.2,0.07674785957981757,0.07401137699569471,0.07875114616922547,
32,0,mean,blend0.2,0.07675482366315178,0.07320903011882753,0.0792849615580094,
1,1,mean,blend0.2,0.07678732227856032,0.07405390463182482,0.07922071087753729,
1,1,median,blend0.2,0.07678732227856032,0.07405390463182482,0.07922071087753729,
2,1,mean,blend0.2,0.07686785171652634,0.07344708169522735,0.07934814243276125,
32,1,median,blend0.2,0.0769634343851863,0.07364678931203458,0.07968465324973092,
8,1,median,blend0.2,0.07700259787687166,0.0740968036182614,0.07915615221141296,
8,0,median,blend0.2,0.07705999624855066,0.073337298573435,0.0795402656797656,
1,0,median,blend0.2,0.07712415400882482,0.0742128560058477,0.07969044038856989,
1,0,mean,blend0.2,0.07712415400882482,0.0742128560058477,0.07969044038856989,
16,1,median,blend0.2,0.07714437777135028,0.07404188605400479,0.07951808479818442,
4,0,median,blend0.2,0.07718515214692297,0.07386680684061736,0.0794889034488642,
2,0,mean,blend0.2,0.0772032045266279,0.07341744138207278,0.07990555318681632,
