held_seed,feature,alpha,n,coverage,rmse,base_rmse,delta
2,r16_all_resmean,0.2105095344,2644,0.9984871407,0.0643068374,0.0651400880,-0.0008332506
2,r16_all_rawmed,0.1958350361,2644,0.9984871407,0.0646032880,0.0651400880,-0.0005368000
2,r16_all_s2_resmed,0.1994471627,2644,0.5529500756,0.0649034531,0.0651400880,-0.0002366349
2,r16_all_landsat_resmed,0.1070063228,2644,0.5332829047,0.0648921140,0.0651400880,-0.0002479740
2,r16_all_modis_resmed,0.0794561862,2644,0.2144478064,0.0650843658,0.0651400880,-0.0000557222
2,r16_crop_resmed,0.1874730989,2644,0.9931921331,0.0644148567,0.0651400880,-0.0007252313
2,r16_crop_resmean,0.2020557101,2644,0.9931921331,0.0641444082,0.0651400880,-0.0009956798
2,r16_crop_rawmed,0.1849246196,2644,0.9931921331,0.0644170845,0.0651400880,-0.0007230035
2,r16_crop_s2_resmed,0.1907225002,2644,0.5041603631,0.0647555527,0.0651400880,-0.0003845352
2,r16_crop_landsat_resmed,0.1776653383,2644,0.4353252648,0.0648381578,0.0651400880,-0.0003019302
2,r16_crop_modis_resmed,0.0956352618,2644,0.1955370651,0.0650557755,0.0651400880,-0.0000843125
2,r32_all_resmed,0.1793101435,2644,0.9992435703,0.0647698756,0.0651400880,-0.0003702124
2,r32_all_resmean,0.2096038954,2644,0.9992435703,0.0643745789,0.0651400880,-0.0007655091
2,r32_all_rawmed,0.1760959096,2644,0.9992435703,0.0647953769,0.0651400880,-0.0003447111
2,r32_all_s2_resmed,0.1424374513,2644,0.5983358548,0.0650178515,0.0651400880,-0.0001222365
2,r32_all_landsat_resmed,0.0822446767,2644,0.5953101362,0.0649807010,0.0651400880,-0.0001593870
2,r32_all_modis_resmed,0.0535900346,2644,0.2212556732,0.0651087111,0.0651400880,-0.0000313769
2,r32_crop_resmed,0.1880398278,2644,0.9943267776,0.0645426760,0.0651400880,-0.0005974120
2,r32_crop_resmean,0.2052923462,2644,0.9943267776,0.0642219807,0.0651400880,-0.0009181073
2,r32_crop_rawmed,0.1851408566,2644,0.9943267776,0.0645441519,0.0651400880,-0.0005959361
2,r32_crop_s2_resmed,0.1842555522,2644,0.5249621785,0.0648040928,0.0651400880,-0.0003359952
2,r32_crop_landsat_resmed,0.1570530953,2644,0.4444024206,0.0648476485,0.0651400880,-0.0002924395
