seed,radius,method,pred,n,rmse,coverage
0,8,median,r_plus_d_0.2,2644,0.07820857053230257,0.9950832072617246
0,8,median,b40_d_-0.1,2644,0.07295797438890636,0.9950832072617246
0,8,median,b40_d_-0.05,2644,0.07136035752979462,0.9950832072617246
0,8,median,b40_d_-0.03,2644,0.07100318851089107,0.9950832072617246
0,8,median,b40_d_-0.02,2644,0.07088649826180718,0.9950832072617246
0,8,median,b40_d_-0.01,2644,0.07081136688665847,0.9950832072617246
0,8,median,b40_d_0,2644,0.07077792673087005,0.9950832072617246
0,8,median,b40_d_0.01,2644,0.07078623688056575,0.9950832072617246
0,8,median,b40_d_0.02,2644,0.0708362826419514,0.9950832072617246
0,8,median,b40_d_0.03,2644,0.07092797567093666,0.9950832072617246
0,8,median,b40_d_0.05,2644,0.07123558719876741,0.9950832072617246
0,8,median,b40_d_0.1,2644,0.07271370256339911,0.9950832072617246
0,16,mean,route,2644,0.07044685785728165,0.995839636913767
0,16,mean,direct,2644,0.17526167728836786,0.995839636913767
0,16,mean,r_plus_d_-0.2,2644,0.07736065895921318,0.995839636913767
0,16,mean,r_plus_d_-0.1,2644,0.07222548174449339,0.995839636913767
0,16,mean,r_plus_d_-0.05,2644,0.0708896405254616,0.995839636913767
0,16,mean,r_plus_d_-0.03,2644,0.0706036604276261,0.995839636913767
0,16,mean,r_plus_d_-0.02,2644,0.07051496717298045,0.995839636913767
0,16,mean,r_plus_d_-0.01,2644,0.07046267262980223,0.995839636913767
0,16,mean,r_plus_d_0,2644,0.07044685785728165,0.995839636913767
0,16,mean,r_plus_d_0.01,2644,0.0704675474164853,0.995839636913767
0,16,mean,r_plus_d_0.02,2644,0.07052470918001971,0.995839636913767
0,16,mean,r_plus_d_0.03,2644,0.07061825458094603,0.995839636913767
0,16,mean,r_plus_d_0.05,2644,0.07091386435407945,0.995839636913767
0,16,mean,r_plus_d_0.08,2644,0.07162480640282357,0.995839636913767
0,16,mean,r_plus_d_0.1,2644,0.07227302581754397,0.995839636913767
0,16,mean,r_plus_d_0.15,2644,0.07447551336881023,0.995839636913767
0,16,mean,r_plus_d_0.2,2644,0.07744941348907779,0.995839636913767
0,16,mean,b40_d_-0.1,2644,0.07253716464259377,0.995839636913767
0,16,mean,b40_d_-0.05,2644,0.07121527518712996,0.995839636913767
0,16,mean,b40_d_-0.03,2644,0.0709325334222976,0.995839636913767
0,16,mean,b40_d_-0.02,2644,0.07084493063144122,0.995839636913767
0,16,mean,b40_d_-0.01,2644,0.07079336881171899,0.995839636913767
0,16,mean,b40_d_0,2644,0.07077792673087005,0.995839636913767
0,16,mean,b40_d_0.01,2644,0.0707986280234211,0.995839636913767
0,16,mean,b40_d_0.02,2644,0.07085544101017986,0.995839636913767
0,16,mean,b40_d_0.03,2644,0.07094827894012233,0.995839636913767
0,16,mean,b40_d_0.05,2644,0.07124141163264555,0.995839636913767
0,16,mean,b40_d_0.1,2644,0.07258847620148498,0.995839636913767
0,16,median,route,2644,0.07044685785728165,0.995839636913767
0,16,median,direct,2644,0.18584066454378817,0.995839636913767
0,16,median,r_plus_d_-0.2,2644,0.07812967529915651,0.995839636913767
0,16,median,r_plus_d_-0.1,2644,0.07238432910172901,0.995839636913767
0,16,median,r_plus_d_-0.05,2644,0.07090572947634854,0.995839636913767
0,16,median,r_plus_d_-0.03,2644,0.07059771018928636,0.995839636913767
0,16,median,r_plus_d_-0.02,2644,0.07050577384759812,0.995839636913767
0,16,median,r_plus_d_-0.01,2644,0.07045546000971,0.995839636913767
0,16,median,r_plus_d_0,2644,0.07044685785728165,0.995839636913767
0,16,median,r_plus_d_0.01,2644,0.07047998266317361,0.995839636913767
0,16,median,r_plus_d_0.02,2644,0.07055477565616287,0.995839636913767
0,16,median,r_plus_d_0.03,2644,0.07067110454092745,0.995839636913767
0,16,median,r_plus_d_0.05,2644,0.07102748079215661,0.995839636913767
0,16,median,r_plus_d_0.08,2644,0.0718662078069099,0.995839636913767
0,16,median,r_plus_d_0.1,2644,0.07262267008119104,0.995839636913767
0,16,median,r_plus_d_0.15,2644,0.07516786100514018,0.995839636913767
0,16,median,r_plus_d_0.2,2644,0.078570785809866,0.995839636913767
0,16,median,b40_d_-0.1,2644,0.07271599573358607,0.995839636913767
0,16,median,b40_d_-0.05,2644,0.07124108286991142,0.995839636913767
0,16,median,b40_d_-0.03,2644,0.07093232998786701,0.995839636913767
0,16,median,b40_d_-0.02,2644,0.07083953728163547,0.995839636913767
0,16,median,b40_d_-0.01,2644,0.07078803948323809,0.995839636913767
0,16,median,b40_d_0,2644,0.07077792673087005,0.995839636913767
0,16,median,b40_d_0.01,2644,0.07080921675598476,0.995839636913767
0,16,median,b40_d_0.02,2644,0.07088185472818372,0.995839636913767
0,16,median,b40_d_0.03,2644,0.07099571373438211,0.995839636913767
0,16,median,b40_d_0.05,2644,0.07134623400751701,0.995839636913767
0,16,median,b40_d_0.1,2644,0.07292189295871639,0.995839636913767
1,1,mean,route,2644,0.06310680406119334,0.8275340393343419
1,1,mean,direct,2644,0.19183817923122748,0.8275340393343419
1,1,mean,r_plus_d_-0.2,2644,0.07220393010114283,0.8275340393343419
1,1,mean,r_plus_d_-0.1,2644,0.06536936477586519,0.8275340393343419
1,1,mean,r_plus_d_-0.05,2644,0.06361301138682594,0.8275340393343419
1,1,mean,r_plus_d_-0.03,2644,0.06325717004414091,0.8275340393343419
1,1,mean,r_plus_d_-0.02,2644,0.06315568273890196,0.8275340393343419
1,1,mean,r_plus_d_-0.01,2644,0.06310551994734694,0.8275340393343419
1,1,mean,r_plus_d_0,2644,0.06310680406119334,0.8275340393343419
1,1,mean,r_plus_d_0.01,2644,0.06315953194249763,0.8275340393343419
1,1,mean,r_plus_d_0.02,2644,0.06326357496188144,0.8275340393343419
1,1,mean,r_plus_d_0.03,2644,0.06341868056104989,0.8275340393343419
1,1,mean,r_plus_d_0.05,2644,0.0638804692731067,0.8275340393343419
1,1,mean,r_plus_d_0.08,2644,0.06494312866354082,0.8275340393343419
1,1,mean,r_plus_d_0.1,2644,0.06588893780373067,0.8275340393343419
1,1,mean,r_plus_d_0.15,2644,0.06902450311210163,0.8275340393343419
1,1,mean,r_plus_d_0.2,2644,0.07314235482576596,0.8275340393343419
1,1,mean,b40_d_-0.1,2644,0.06604089941997149,0.8275340393343419
1,1,mean,b40_d_-0.05,2644,0.06424409176130585,0.8275340393343419
